"GEOID","count_ntm_stops","stops_per_capita"
"01017953900",0,0
"01017954000",0,0
"01017954200",0,0
"01017954300",0,0
"01017954400",0,0
"01017954500",0,0
"01017954600",0,0
"01017954700",0,0
"01019955701",0,0
"01019955702",0,0
"01019955800",0,0
"01019955900",0,0
"01019956000",0,0
"01019956100",0,0
"01021060101",0,0
"01021060102",0,0
"01021060200",0,0
"01021060300",0,0
"01021060401",0,0
"01021060402",0,0
"01021060500",0,0
"01021060600",0,0
"01021060700",0,0
"01023956700",0,0
"01023956800",0,0
"01023956900",0,0
"01023957000",0,0
"01025957500",0,0
"01025957601",0,0
"01025957602",0,0
"01025957700",0,0
"01025957800",0,0
"01025957901",0,0
"01025957902",0,0
"01025958001",0,0
"01025958002",0,0
"01027958900",0,0
"01027959000",0,0
"01027959100",0,0
"01027959200",0,0
"01029959500",0,0
"01029959600",0,0
"01029959700",0,0
"01029959800",0,0
"01031010100",0,0
"01031010200",0,0
"01031010300",0,0
"01031010400",0,0
"01031010500",0,0
"01031010600",0,0
"01031010700",0,0
"01031010800",0,0
"01031010900",0,0
"01031011000",0,0
"01031011100",0,0
"01031011201",0,0
"01031011202",0,0
"01031011300",0,0
"01033020100",0,0
"01033020200",0,0
"01033020300",0,0
"01033020400",0,0
"01033020500",0,0
"01033020600",0,0
"01033020701",0,0
"01033020703",0,0
"01033020704",0,0
"01033020801",0,0
"01033020802",0,0
"01033020901",0,0
"01033020902",0,0
"01033021000",0,0
"01035960200",0,0
"01035960300",0,0
"01035960400",0,0
"01035960500",0,0
"01035960600",0,0
"01037961000",0,0
"01037961100",0,0
"01037961200",0,0
"01039961600",0,0
"01039961700",0,0
"01039961800",0,0
"01039961900",0,0
"01039962000",0,0
"01039962100",0,0
"01039962300",0,0
"01039962400",0,0
"01039962500",0,0
"01039962600",0,0
"01039962700",0,0
"01039962800",0,0
"01039962900",0,0
"01039963000",0,0
"01041963400",0,0
"01041963500",0,0
"01041963600",0,0
"01041963700",0,0
"01041963800",0,0
"01041963900",0,0
"01043964100",0,0
"01043964200",0,0
"01043964300",0,0
"01043964400",0,0
"01043964500",0,0
"01043964600",0,0
"01043964700",0,0
"01043964800",0,0
"01043964900",0,0
"01043965000",0,0
"01043965100",0,0
"01043965200",0,0
"01043965300",0,0
"01043965401",0,0
"01043965402",0,0
"01043965500",0,0
"01043965600",0,0
"01043965700",0,0
"01045020000",0,0
"01045020100",0,0
"01045020200",0,0
"01045020300",0,0
"01045020400",0,0
"01045020500",0,0
"01045020700",0,0
"01045020801",0,0
"01045020802",0,0
"01045021101",0,0
"01045021102",0,0
"01045021200",0,0
"01045021300",0,0
"01045021400",0,0
"01047956100",0,0
"01047956201",0,0
"01047956202",0,0
"01047956300",0,0
"01047956400",0,0
"01047956500",0,0
"01047956600",0,0
"01047956701",0,0
"01047956702",0,0
"01047956800",0,0
"01047956900",0,0
"01047957000",0,0
"01047957100",0,0
"01047957200",0,0
"01047957300",0,0
"01049960100",0,0
"01049960200",0,0
"01049960300",0,0
"01049960400",0,0
"01049960500",0,0
"01049960600",0,0
"01049960700",0,0
"01049960800",0,0
"01049960900",0,0
"01049961000",0,0
"01049961100",0,0
"01049961200",0,0
"01049961300",0,0
"01049961400",0,0
"01051030100",0,0
"01051030200",0,0
"01051030300",0,0
"01051030400",0,0
"01051030500",0,0
"01051030600",0,0
"01051030701",0,0
"01051030702",0,0
"01051030800",0,0
"01051030901",0,0
"01051030902",0,0
"01051031000",0,0
"01051031100",0,0
"01051031200",0,0
"01051031300",0,0
"01053969800",0,0
"01053969900",0,0
"01053970100",0,0
"01053970200",0,0
"01053970300",0,0
"01053970400",0,0
"01053970500",0,0
"01053970600",0,0
"01053970700",0,0
"01055000200",0,0
"01055000300",0,0
"01055000400",0,0
"01055000500",0,0
"01055000600",0,0
"01055000700",0,0
"01055000800",0,0
"01055000900",0,0
"01055001000",0,0
"01055001100",0,0
"01055001200",0,0
"01055001300",0,0
"01055001600",0,0
"01055001700",0,0
"01055010100",0,0
"01055010200",0,0
"01055010300",0,0
"01055010401",0,0
"01055010402",0,0
"01055010501",0,0
"01055010502",0,0
"01055010601",0,0
"01055010602",0,0
"01055010700",0,0
"01055010800",0,0
"01055010900",0,0
"01055011001",0,0
"01055011002",0,0
"01055011100",0,0
"01055011200",0,0
"01057020000",0,0
"01057020100",0,0
"01057020200",0,0
"01057020300",0,0
"01057020400",0,0
"01059972900",0,0
"01059973000",0,0
"01059973100",0,0
"01059973200",0,0
"01059973300",0,0
"01059973400",0,0
"01059973500",0,0
"01059973600",0,0
"01059973700",0,0
"01061050100",0,0
"01061050200",0,0
"01061050300",0,0
"01061050400",0,0
"01061050500",0,0
"01061050600",0,0
"01063060000",0,0
"01063060100",0,0
"01063060200",0,0
"01065040000",0,0
"01065040100",0,0
"01065040200",0,0
"01065040300",0,0
"01065040400",0,0
"01065040500",0,0
"01067030100",0,0
"01067030200",0,0
"01067030300",0,0
"01067030400",0,0
"01067030500",0,0
"01067030600",0,0
"01069040100",0,0
"01069040201",0,0
"01069040202",0,0
"01069040301",0,0
"01069040302",0,0
"01069040400",0,0
"01069040500",0,0
"01069040600",0,0
"01069040700",0,0
"01069040800",0,0
"01069040900",0,0
"01069041000",0,0
"01069041100",0,0
"01069041200",0,0
"01069041400",0,0
"01069041500",0,0
"01069041600",0,0
"01069041700",0,0
"01069041800",0,0
"01069041900",0,0
"01069042000",0,0
"01069042100",0,0
"01071950100",0,0
"01071950200",0,0
"01071950300",0,0
"01071950400",0,0
"01071950500",0,0
"01071950600",0,0
"01071950700",0,0
"01071950800",0,0
"01071950900",0,0
"01071951000",0,0
"01071951100",0,0
"01073000100",31,10.5946684894053
"01073000300",31,11.5070527097253
"01073000400",26,7.04034660167885
"01073000500",38,10.9636468551645
"01073000700",29,11.3325517780383
"01073000800",62,15.11457825451
"01073001100",26,5.12315270935961
"01073001200",29,9.45549396804695
"01073001400",27,12.2727272727273
"01073001500",23,7.71035869929601
"01073001600",34,9.23160467010589
"01073001902",22,9.2436974789916
"01073002000",11,3.02696752889378
"01073002100",13,4.06376992810253
"01073002200",22,7.21784776902887
"01073002303",26,7.54279083260807
"01073002305",12,4.11663807890223
"01073002306",9,2.3936170212766
"01073002400",69,18.5384202041913
"01073002700",118,33.7915234822451
"01073002900",38,19.019019019019
"01073003001",19,5.69886022795441
"01073003002",28,10.4555638536221
"01073003100",13,3.52208073692766
"01073003200",23,31.2075983717775
"01073003300",18,17.2413793103448
"01073003400",25,8.36960160696351
"01073003500",20,6.00600600600601
"01073003600",17,4.07185628742515
"01073003700",35,6.48028142936493
"01073003802",10,1.62813415825464
"01073003803",27,6.51073064866168
"01073003900",15,8.28729281767956
"01073004000",34,8.46402788150361
"01073004200",28,12.4944221329764
"01073004500",53,14.6247240618102
"01073004701",22,6.55933214072749
"01073004702",15,4.6583850931677
"01073004800",11,5.33204071740184
"01073004901",15,13.7994480220791
"01073004902",14,4.56026058631922
"01073005000",21,5.48016701461378
"01073005101",19,10.0052659294365
"01073005103",38,14.5761411584196
"01073005104",5,1.43843498273878
"01073005200",21,5.1622418879056
"01073005302",0,0
"01073005500",23,11.252446183953
"01073005600",14,3.11180262280507
"01073005701",20,7.79423226812159
"01073005702",26,7.32600732600733
"01073005800",20,5.32907007727152
"01073005903",9,1.74893120870579
"01073005905",7,1.39026812313803
"01073005907",0,0
"01073005908",9,2.50906049623641
"01073005909",0,0
"01073005910",2,0.393004519551975
"01073010001",0,0
"01073010002",0,0
"01073010100",11,5.55836280949975
"01073010200",28,11.7154811715481
"01073010301",4,1.61616161616162
"01073010302",15,3.49406009783368
"01073010401",24,8.89547813194959
"01073010402",2,0.83298625572678
"01073010500",4,2.46153846153846
"01073010602",3,0.479616306954436
"01073010603",0,0
"01073010701",1,0.608642726719416
"01073010702",21,4.52001721911322
"01073010703",3,1.44300144300144
"01073010704",1,0.21381227282446
"01073010705",20,5.74052812858783
"01073010706",14,2.73651290070368
"01073010801",22,3.81679389312977
"01073010802",21,6.00858369098712
"01073010803",8,1.32824173999668
"01073010804",39,13.2788559754852
"01073010805",10,1.32784490771478
"01073010900",12,2.30017251293847
"01073011001",0,0
"01073011002",0,0
"01073011104",0,0
"01073011107",0,0
"01073011108",0,0
"01073011109",0,0
"01073011110",0,0
"01073011111",0,0
"01073011205",0,0
"01073011206",0,0
"01073011207",0,0
"01073011208",0,0
"01073011209",10,2.63157894736842
"01073011210",2,0.484613520717228
"01073011301",0,0
"01073011302",0,0
"01073011400",0,0
"01073011500",0,0
"01073011600",0,0
"01073011703",0,0
"01073011704",0,0
"01073011705",0,0
"01073011706",0,0
"01073011802",3,0.41993281075028
"01073011803",6,1.11172873818788
"01073011804",13,4.68468468468468
"01073011901",0,0
"01073011904",4,1.55642023346304
"01073012001",0,0
"01073012002",0,0
"01073012103",0,0
"01073012104",0,0
"01073012200",0,0
"01073012302",0,0
"01073012304",0,0
"01073012305",0,0
"01073012401",0,0
"01073012402",0,0
"01073012403",0,0
"01073012500",4,0.946969696969697
"01073012602",0,0
"01073012701",0,0
"01073012703",0,0
"01073012704",0,0
"01073012802",5,1.8698578908003
"01073012803",11,2.39965095986038
"01073012905",7,1.6211208893006
"01073012906",4,0.661047760700711
"01073012907",0,0
"01073012908",3,0.520652551197501
"01073012910",9,2.71739130434783
"01073012911",1,0.17614937466972
"01073012912",2,0.382482310193154
"01073012913",1,0.22237046920169
"01073012914",1,0.453926463912846
"01073012915",7,1.1965811965812
"01073013002",30,18.450184501845
"01073013100",30,7.07547169811321
"01073013200",4,1.4986886474335
"01073013300",12,3.88475234703788
"01073013400",0,0
"01073013601",3,0.820793433652531
"01073013801",3,1.46341463414634
"01073013901",0,0
"01073013902",0,0
"01073014001",0,0
"01073014002",0,0
"01073014102",0,0
"01073014104",7,2.16785382471353
"01073014105",6,1.43472022955524
"01073014203",1,0.0811754200827989
"01073014204",0,0
"01073014301",0,0
"01073014302",18,3.49718282494657
"01073014404",0,0
"01073014405",0,0
"01073014406",0,0
"01073014408",1,0.300751879699248
"01073014409",4,1.22511485451761
"01073014410",0,0
"01073014412",0,0
"01073014413",0,0
"01075030000",0,0
"01075030100",0,0
"01075030200",0,0
"01077010100",0,0
"01077010200",0,0
"01077010300",0,0
"01077010400",0,0
"01077010600",0,0
"01077010700",0,0
"01077010800",0,0
"01077010900",0,0
"01077011000",0,0
"01077011101",0,0
"01077011102",0,0
"01077011200",0,0
"01077011300",0,0
"01077011400",0,0
"01077011501",0,0
"01077011502",0,0
"01077011602",0,0
"01077011603",0,0
"01077011604",0,0
"01077011700",0,0
"01077011801",0,0
"01077011802",0,0
"01079979100",0,0
"01079979200",0,0
"01079979300",0,0
"01079979400",0,0
"01079979500",0,0
"01079979600",0,0
"01079979700",0,0
"01079979800",0,0
"01079979900",0,0
"01081040200",0,0
"01081040300",0,0
"01081040400",0,0
"01081040500",0,0
"01081040602",0,0
"01081040603",0,0
"01081040604",0,0
"01081040700",0,0
"01081040800",0,0
"01081040901",0,0
"01081040902",0,0
"01081041000",0,0
"01081041100",0,0
"01081041200",0,0
"01081041300",0,0
"01081041400",0,0
"01081041600",0,0
"01081041700",0,0
"01081041800",0,0
"01081041900",0,0
"01081042002",0,0
"01081042003",0,0
"01081042004",0,0
"01081042005",0,0
"01081042006",0,0
"01081042101",0,0
"01081042102",0,0
"01083020101",0,0
"01083020102",0,0
"01083020201",0,0
"01083020202",0,0
"01083020300",0,0
"01083020401",0,0
"01083020402",0,0
"01083020500",0,0
"01083020600",0,0
"01083020700",0,0
"01083020801",0,0
"01083020802",0,0
"01083020900",0,0
"01083021000",0,0
"01083021100",0,0
"01083021200",0,0
"01085780800",0,0
"01085781000",0,0
"01085781100",0,0
"01085781200",0,0
"01087231400",0,0
"01087231500",0,0
"01087231601",0,0
"01087231602",0,0
"01087231603",0,0
"01087231700",0,0
"01087231800",0,0
"01087231900",0,0
"01087232000",0,0
"01087232100",0,0
"01087232200",0,0
"01087232300",0,0
"01089000201",0,0
"01089000202",0,0
"01089000301",0,0
"01089000302",0,0
"01089000403",0,0
"01089000501",0,0
"01089000502",0,0
"01089000503",0,0
"01089000601",0,0
"01089000602",0,0
"01089000701",0,0
"01089000702",0,0
"01089000901",0,0
"01089000902",0,0
"01089001000",0,0
"01089001200",0,0
"01089001301",0,0
"01089001302",0,0
"01089001401",0,0
"01089001402",0,0
"01089001500",0,0
"01089001700",0,0
"01089001801",0,0
"01089001901",0,0
"01089001902",0,0
"01089001903",0,0
"01089002000",0,0
"01089002100",0,0
"01089002200",0,0
"01089002300",0,0
"01089002400",0,0
"01089002501",0,0
"01089002502",0,0
"01089002600",0,0
"01089002701",0,0
"01089002721",0,0
"01089002722",0,0
"01089002801",0,0
"01089002802",0,0
"01089002911",0,0
"01089002912",0,0
"01089002921",0,0
"01089002922",0,0
"01089003000",0,0
"01089003100",0,0
"01089010100",0,0
"01089010200",0,0
"01089010301",0,0
"01089010302",0,0
"01089010401",0,0
"01089010402",0,0
"01089010501",0,0
"01089010502",0,0
"01089010612",0,0
"01089010621",0,0
"01089010622",0,0
"01089010623",0,0
"01089010624",0,0
"01089010701",0,0
"01089010702",0,0
"01089010800",0,0
"01089010901",0,0
"01089010902",0,0
"01089011011",0,0
"01089011012",0,0
"01089011013",0,0
"01089011014",0,0
"01089011021",0,0
"01089011022",0,0
"01089011100",0,0
"01089011200",0,0
"01089011300",0,0
"01089011400",0,0
"01091972900",0,0
"01091973000",0,0
"01091973100",0,0
"01091973200",0,0
"01091973300",0,0
"01091973400",0,0
"01093964000",0,0
"01093964100",0,0
"01093964200",0,0
"01093964300",0,0
"01093964400",0,0
"01093964500",0,0
"01093964600",0,0
"01093964700",0,0
"01095030100",0,0
"01095030201",0,0
"01095030202",0,0
"01095030300",0,0
"01095030401",0,0
"01095030402",0,0
"01095030500",0,0
"01095030600",0,0
"01095030701",0,0
"01095030702",0,0
"01095030801",0,0
"01095030802",0,0
"01095030902",0,0
"01095030903",0,0
"01095030904",0,0
"01095031000",0,0
"01095031100",0,0
"01095031200",0,0
"01097000200",0,0
"01097000401",0,0
"01097000402",0,0
"01097000500",0,0
"01097000600",0,0
"01097000701",0,0
"01097000702",0,0
"01097000800",0,0
"01097000901",0,0
"01097000902",0,0
"01097000903",0,0
"01097001001",0,0
"01097001002",0,0
"01097001100",0,0
"01097001200",0,0
"01097001302",0,0
"01097001400",0,0
"01097001501",0,0
"01097001502",0,0
"01097001800",0,0
"01097001901",0,0
"01097001902",0,0
"01097002000",0,0
"01097002100",0,0
"01097002200",0,0
"01097002301",0,0
"01097002302",0,0
"01097002400",0,0
"01097002501",0,0
"01097002502",0,0
"01097002600",0,0
"01097002700",0,0
"01097002800",0,0
"01097002900",0,0
"01097003000",0,0
"01097003100",0,0
"01097003202",0,0
"01097003203",0,0
"01097003204",0,0
"01097003205",0,0
"01097003301",0,0
"01097003302",0,0
"01097003402",0,0
"01097003404",0,0
"01097003405",0,0
"01097003406",0,0
"01097003407",0,0
"01097003408",0,0
"01097003501",0,0
"01097003502",0,0
"01097003602",0,0
"01097003605",0,0
"01097003606",0,0
"01097003607",0,0
"01097003608",0,0
"01097003703",0,0
"01097003704",0,0
"01097003705",0,0
"01097003706",0,0
"01097003707",0,0
"01097003708",0,0
"01097003709",0,0
"01097003710",0,0
"01097003800",0,0
"01097003901",0,0
"01097003902",0,0
"01097004000",0,0
"01097004100",0,0
"01097004800",0,0
"01097004900",0,0
"01097005000",0,0
"01097005100",0,0
"01097005200",0,0
"01097005300",0,0
"01097005400",0,0
"01097005500",0,0
"01097005600",0,0
"01097005700",0,0
"01097005800",0,0
"01097005900",0,0
"01097006000",0,0
"01097006102",0,0
"01097006103",0,0
"01097006104",0,0
"01097006105",0,0
"01097006200",0,0
"01097006301",0,0
"01097006302",0,0
"01097006402",0,0
"01097006403",0,0
"01097006404",0,0
"01097006405",0,0
"01097006406",0,0
"01097006407",0,0
"01097006501",0,0
"01097006502",0,0
"01097006600",0,0
"01097006701",0,0
"01097006702",0,0
"01097006801",0,0
"01097006802",0,0
"01097006901",0,0
"01097006902",0,0
"01097007000",0,0
"01097007101",0,0
"01097007102",0,0
"01097007103",0,0
"01097007201",0,0
"01097007202",0,0
"01097007300",0,0
"01097007400",0,0
"01097007500",0,0
"01097007600",0,0
"01097007700",0,0
"01097990000",0,NA
"01099075600",0,0
"01099075700",0,0
"01099075800",0,0
"01099075900",0,0
"01099076000",0,0
"01099076100",0,0
"01099076200",0,0
"01101000100",112,113.017154389506
"01101000200",67,38.5500575373993
"01101000300",26,23.7010027347311
"01101000400",28,6.54970760233918
"01101000500",37,11.0579796772265
"01101000600",54,46.2724935732648
"01101000700",13,12.4164278892073
"01101000900",15,7.30994152046784
"01101001000",56,45.7516339869281
"01101001100",72,22.0791168353266
"01101001200",30,18.4729064039409
"01101001300",30,12.5733445096396
"01101001400",52,15.6390977443609
"01101001500",46,10.4616784171026
"01101001600",69,19.7142857142857
"01101001700",39,6.8953323903819
"01101001800",36,11.605415860735
"01101001900",5,1.40488901376791
"01101002000",85,18.4221933246641
"01101002100",30,6.31978091426164
"01101002201",46,10.8031939877877
"01101002202",12,10.762331838565
"01101002300",46,15.7858613589568
"01101002400",48,26.8306316377865
"01101002500",27,7.93184488836663
"01101002600",16,2.67827251422832
"01101002700",24,5.64042303172738
"01101002800",21,4.7361299052774
"01101002900",42,5.28567832871885
"01101003000",29,7.96703296703297
"01101003100",33,7.11820534943917
"01101003200",22,3.35672871528837
"01101003301",38,11.9159611163374
"01101003302",65,10.9704641350211
"01101005101",7,1.64551010813352
"01101005102",41,8.22632423756019
"01101005301",3,3.78787878787879
"01101005302",38,16.7992926613616
"01101005402",46,8.31676007955162
"01101005403",12,2.98804780876494
"01101005406",47,5.07230736024174
"01101005407",19,4.02457106545223
"01101005408",2,0.23719165085389
"01101005409",12,5.3475935828877
"01101005410",24,5.25164113785558
"01101005501",0,0
"01101005502",0,0
"01101005503",7,1.69861684057268
"01101005504",0,0
"01101005603",40,5.51040088166414
"01101005604",0,0
"01101005605",5,1.25407574617507
"01101005606",9,1.72943889315911
"01101005607",0,0
"01101005608",0,0
"01101005609",4,0.974658869395711
"01101005610",0,0
"01101005611",0,0
"01101005612",0,0
"01101005700",0,0
"01101005800",0,0
"01101005901",16,3.33959507409727
"01101005902",40,10.0857286938981
"01101006000",59,15.5304027375625
"01101006100",37,16.5548098434004
"01103000100",0,0
"01103000200",0,0
"01103000300",0,0
"01103000400",0,0
"01103000600",0,0
"01103000700",0,0
"01103000800",0,0
"01103000900",0,0
"01103001000",0,0
"01103005101",0,0
"01103005103",0,0
"01103005105",0,0
"01103005106",0,0
"01103005107",0,0
"01103005108",0,0
"01103005109",0,0
"01103005200",0,0
"01103005301",0,0
"01103005302",0,0
"01103005303",0,0
"01103005304",0,0
"01103005404",0,0
"01103005405",0,0
"01103005500",0,0
"01103005600",0,0
"01103005701",0,0
"01103005702",0,0
"01105686800",0,0
"01105687000",0,0
"01105687100",0,0
"01107050000",0,0
"01107050100",0,0
"01107050200",0,0
"01107050300",0,0
"01107050400",0,0
"01109188600",0,0
"01109188700",0,0
"01109188800",0,0
"01109188900",0,0
"01109189000",0,0
"01109189100",0,0
"01109189200",0,0
"01109189300",0,0
"01111000100",0,0
"01111000200",0,0
"01111000300",0,0
"01111000400",0,0
"01111000500",0,0
"01111000600",0,0
"01113030200",0,0
"01113030300",0,0
"01113030401",0,0
"01113030402",0,0
"01113030500",0,0
"01113030600",0,0
"01113030700",0,0
"01113030800",0,0
"01113030901",0,0
"01113030902",0,0
"01113031000",0,0
"01113031100",0,0
"01113031200",0,0
"01115040103",0,0
"01115040104",0,0
"01115040105",0,0
"01115040106",0,0
"01115040201",0,0
"01115040203",0,0
"01115040204",0,0
"01115040205",0,0
"01115040300",0,0
"01115040401",0,0
"01115040402",0,0
"01115040501",0,0
"01115040502",0,0
"01117030102",0,0
"01117030103",0,0
"01117030211",0,0
"01117030212",2,0.63653723742839
"01117030213",1,0.198491464867011
"01117030214",0,0
"01117030215",0,0
"01117030216",0,0
"01117030217",0,0
"01117030303",4,0.522534291312867
"01117030304",0,0
"01117030305",0,0
"01117030306",0,0
"01117030314",0,0
"01117030315",0,0
"01117030316",0,0
"01117030317",0,0
"01117030319",0,0
"01117030320",0,0
"01117030330",2,0.369276218611521
"01117030331",0,0
"01117030332",0,0
"01117030333",0,0
"01117030334",0,0
"01117030336",0,0
"01117030337",0,0
"01117030340",0,0
"01117030341",0,0
"01117030342",0,0
"01117030344",0,0
"01117030345",0,0
"01117030405",0,0
"01117030406",0,0
"01117030407",0,0
"01117030408",0,0
"01117030501",0,0
"01117030502",0,0
"01117030604",0,0
"01117030605",0,0
"01117030607",0,0
"01117030608",0,0
"01117030609",0,0
"01117030701",0,0
"01117030703",0,0
"01117030704",0,0
"01117030800",0,0
"01117030900",0,0
"01117980000",0,0
"01119011300",0,0
"01119011400",0,0
"01119011500",0,0
"01119011600",0,0
"01121010101",0,0
"01121010102",0,0
"01121010201",0,0
"01121010202",0,0
"01121010301",0,0
"01121010302",0,0
"01121010400",0,0
"01121010500",0,0
"01121010600",0,0
"01121010700",0,0
"01121010900",0,0
"01121011000",0,0
"01121011100",0,0
"01121011200",0,0
"01121011300",0,0
"01121011400",0,0
"01121011500",0,0
"01121011600",0,0
"01121011700",0,0
"01121011800",0,0
"01121011900",0,0
"01121012000",0,0
"01123961900",0,0
"01123962000",0,0
"01123962100",0,0
"01123962200",0,0
"01123962300",0,0
"01123962400",0,0
"01123962501",0,0
"01123962502",0,0
"01123962600",0,0
"01123962700",0,0
"01125010101",0,0
"01125010102",0,0
"01125010103",0,0
"01125010201",0,0
"01125010202",0,0
"01125010203",0,0
"01125010204",0,0
"01125010301",0,0
"01125010302",0,0
"01125010303",0,0
"01125010403",0,0
"01125010404",0,0
"01125010405",0,0
"01125010406",0,0
"01125010407",0,0
"01125010500",0,0
"01125010601",0,0
"01125010602",0,0
"01125010701",0,0
"01125010702",0,0
"01125010703",0,0
"01125010802",0,0
"01125010803",0,0
"01125010804",0,0
"01125011200",0,0
"01125011401",0,0
"01125011402",0,0
"01125011600",0,0
"01125011701",0,0
"01125011703",0,0
"01125011800",0,0
"01125011901",0,0
"01125011902",0,0
"01125012000",0,0
"01125012100",0,0
"01125012303",0,0
"01125012304",0,0
"01125012305",0,0
"01125012403",0,0
"01125012404",0,0
"01125012405",0,0
"01125012501",0,0
"01125012502",0,0
"01125012503",0,0
"01125012600",0,0
"01125012700",0,0
"01125012800",0,0
"01127020100",0,0
"01127020200",0,0
"01127020300",0,0
"01127020400",0,0
"01127020600",0,0
"01127020700",0,0
"01127020800",0,0
"01127020900",0,0
"01127021000",0,0
"01127021100",0,0
"01127021200",0,0
"01127021300",0,0
"01127021400",0,0
"01127021500",0,0
"01127021600",0,0
"01127021700",0,0
"01127021800",0,0
"01127021900",0,0
"01129043900",0,0
"01129044000",0,0
"01129044100",0,0
"01129044200",0,0
"01129044300",0,0
"01131034700",0,0
"01131034800",0,0
"01131035100",0,0
"01131035200",0,0
"01133965501",0,0
"01133965502",0,0
"01133965503",0,0
"01133965600",0,0
"01133965700",0,0
"01133965800",0,0
"01133965900",0,0
"02013000100",0,0
"02016000100",0,0
"02016000200",0,0
"02020000101",0,0
"02020000102",0,0
"02020000201",7,1.84647850171459
"02020000202",1,0.161134386077989
"02020000203",0,0
"02020000204",0,0
"02020000300",8,1.01061141990905
"02020000400",4,0.711237553342817
"02020000500",11,5.08083140877598
"02020000600",26,3.77852056387153
"02020000701",14,2.3376189681082
"02020000702",32,5.89427150488119
"02020000703",15,2.8333962976955
"02020000801",24,3.19106501794974
"02020000802",10,2.17438573602957
"02020000901",50,9.03016073686112
"02020000902",12,4.2583392476934
"02020001000",24,6.58978583196046
"02020001100",23,26.6821345707657
"02020001200",20,5.32339632685653
"02020001300",2,0.684931506849315
"02020001400",32,6.25488663017983
"02020001500",16,3.22906155398587
"02020001601",8,1.99600798403194
"02020001602",35,8.11500115928588
"02020001701",11,1.55785299532644
"02020001702",10,2.05423171733772
"02020001731",14,2.41296104791451
"02020001732",15,2.37454487889821
"02020001801",4,0.785083415112856
"02020001802",12,2.19901044529962
"02020001900",36,8.9197224975223
"02020002000",18,4.8820179007323
"02020002100",8,2.47448190535107
"02020002201",2,0.406752084604434
"02020002202",2,0.703977472720873
"02020002301",13,1.72941332978582
"02020002302",3,0.568720379146919
"02020002303",8,0.934907093607573
"02020002400",7,2.3132848645076
"02020002501",23,4.50097847358121
"02020002502",2,0.351246926589392
"02020002601",7,1.43413234992829
"02020002602",2,0.349895031490553
"02020002603",2,0.299177262528048
"02020002702",6,0.617030028794735
"02020002711",0,0
"02020002712",16,1.82940772924766
"02020002811",1,0.160333493666827
"02020002812",0,0
"02020002813",0,0
"02020002821",0,0
"02020002822",0,0
"02020002823",0,0
"02020002900",0,0
"02050000100",0,0
"02050000200",0,0
"02050000300",0,0
"02060000100",0,0
"02068000100",0,0
"02070000100",0,0
"02070000200",0,0
"02090000100",25,13.2555673382821
"02090000200",29,8.44742207981357
"02090000300",28,5.97524541186513
"02090000400",11,2.32116480270099
"02090000500",21,7.54310344827586
"02090000600",18,4.16088765603329
"02090000700",28,6.35785649409628
"02090000800",23,3.7108744756373
"02090000900",0,0
"02090001000",52,41.5335463258786
"02090001100",36,4.81927710843374
"02090001200",8,1.27165792401844
"02090001300",76,12.3577235772358
"02090001400",47,6.07313606409097
"02090001500",0,0
"02090001600",34,6.85069514406609
"02090001700",2,1.69348010160881
